Camera Owner,Camera Description,Image URL,Web URL,Location
SDOT,Airport Way S & S Norfolk St,http://www.seattle.gov/trafficcams/images/Airport_Norfolk.jpg,,"(47.51369, -122.28819)"
SDOT,Rainier Ave S & S Henderson St,http://www.seattle.gov/trafficcams/images/Rainier_Henderson.jpg,http://www.seattle.gov/trafficcams/rainier_henderson.htm,"(47.52345, -122.26989)"
SDOT,14th Ave S & S Cloverdale St,http://www.seattle.gov/trafficcams/images/14_Cloverdale.jpg,,"(47.5264, -122.31476)"
SDOT,Fauntleroy SW & SW Cloverdale St,http://www.seattle.gov/trafficcams/images/Fauntleroy_Cloverdale.jpg,,"(47.52671, -122.39281)"
SDOT,E Marginal Way S & 16th Ave S,http://www.seattle.gov/trafficcams/images/EMarg_16.jpg,,"(47.53436, -122.31321)"
WSDOT,SR-99 @ West Marginal Way,http://images.wsdot.wa.gov/nw/099vc02671.jpg,http://www.seattle.gov/trafficcams/sr99_westmarginal.htm,"(47.5365, -122.33367)"
SDOT,MLK Way S & S Othello St - NS,http://www.seattle.gov/trafficcams/images/MLK_Othello.jpg,http://www.seattle.gov/trafficcams/mlk_othello.htm,"(47.53689, -122.28111)"
SDOT,MLK Way S & S Othello St - EW,http://www.seattle.gov/trafficcams/images/Othello_MLK.jpg,http://www.seattle.gov/trafficcams/othello_mlk.htm,"(47.53709, -122.28057)"
SDOT,Airport Way S & S Othello St,http://www.seattle.gov/trafficcams/images/Airport_Othello.jpg,http://www.seattle.gov/trafficcams/airport_othello.htm,"(47.53744, -122.3022)"
WSDOT,I-5 @ Mid Boeing Field,http://images.wsdot.wa.gov/nw/005vc15970.jpg,http://www.seattle.gov/trafficcams/i5_boeing.htm,"(47.53815, -122.30024)"
SDOT,E Marginal Way S & S Michigan St,http://www.seattle.gov/trafficcams/images/EMarg_Mich.jpg,,"(47.545, -122.33137)"
SDOT,4th Ave S & S Michigan St,http://www.seattle.gov/trafficcams/images/4_Michigan.jpg,http://www.seattle.gov/trafficcams/4th_Michigan.htm,"(47.54544, -122.32968)"
WSDOT,SR-520 East Highrise,http://images.wsdot.wa.gov/nw/520vc00398.jpg,http://www.seattle.gov/trafficcams/sr520_midspaneast.htm,"(47.54612, -122.33409)"
SDOT,Corson Ave S & S Bailey St,http://www.seattle.gov/trafficcams/images/Corson_Bailey.jpg,,"(47.54742, -122.3213)"
SDOT,1st Ave S & E Marginal Way,http://www.seattle.gov/trafficcams/images/1_EMarg.jpg,http://www.seattle.gov/trafficcams/1st_Marginal.htm,"(47.54833, -122.33421)"
WSDOT,I-5 @ S Albro St,http://images.wsdot.wa.gov/nw/005vc16123.jpg,http://www.seattle.gov/trafficcams/i5_albro.htm,"(47.54856, -122.31173)"
SDOT,Rainier Ave S & S Hudson St,http://www.seattle.gov/trafficcams/images/Rainier_Hudson.jpg,,"(47.55696, -122.28468)"
SDOT,E Marginal Way S & S Hudson St,http://www.seattle.gov/trafficcams/images/EMarg_Hudson.jpg,http://www.seattle.gov/trafficcams/Marginal_Hudson.htm,"(47.55746, -122.33923)"
SDOT,MLK Way S & S Alaska St - EW,http://www.seattle.gov/trafficcams/images/Alaska_MLK.jpg,http://www.seattle.gov/trafficcams/Alaska_MLK.htm,"(47.56083, -122.2926)"
SDOT,California Ave SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/California_Alaska.jpg,,"(47.56097, -122.3869)"
SDOT,42nd Ave SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/Alaska_42.jpg,,"(47.56099, -122.38532)"
SDOT,Fauntleroy Way SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/Fauntleroy_Alaska.jpg,http://www.seattle.gov/trafficcams/fauntleroy_alaska.htm,"(47.56119, -122.38128)"
SDOT,E Marginal Way S & S Idaho St,http://www.seattle.gov/trafficcams/images/EMarg_Idaho.jpg,,"(47.56432, -122.33953)"
SDOT,35th Ave SW & SW Fauntleroy,http://www.seattle.gov/trafficcams/images/35_Fauntleroy.jpg,http://www.seattle.gov/trafficcams/35th_fauntleroy.htm,"(47.56494, -122.3761)"
SDOT,Airport Way S & S Industrial Way,http://www.seattle.gov/trafficcams/images/Airport_Industrial.jpg,,"(47.56494, -122.32287)"
SDOT,West Seattle Fwy Pullout,http://www.seattle.gov/trafficcams/images/WS_Bridge_Fauntleroy.jpg,,"(47.56978, -122.37297)"
SDOT,W Seattle Bridge Mid,http://www.seattle.gov/trafficcams/images/WS_Bridgedeck_East.jpg,http://www.seattle.gov/trafficcams/WSB_Mid-span.htm,"(47.57088, -122.34991)"
SDOT,W Seattle Bridge West,http://www.seattle.gov/trafficcams/images/WS_Bridge_West.jpg,http://www.seattle.gov/trafficcams/WSB_Delridge.htm,"(47.57118, -122.35652)"
SDOT,6th Ave S & S Spokane St,http://www.seattle.gov/trafficcams/images/6_Spokane.jpg,http://www.seattle.gov/trafficcams/6th_Spokane.htm,"(47.57125, -122.32593)"
SDOT,11th Ave SW & SW Spokane St,http://www.seattle.gov/trafficcams/images/11_Spokane.jpg,http://www.seattle.gov/trafficcams/11th_spokane.htm,"(47.57161, -122.3491)"
SDOT,Chelan Ave SW & W Marginal Way SW,http://www.seattle.gov/trafficcams/images/Chelan_St_East.jpg,http://www.seattle.gov/trafficcams/Marginal_Chelan.htm,"(47.57209, -122.36021)"
WSDOT,I-5 @ S Spokane St,http://images.wsdot.wa.gov/nw/005vc16297.jpg,http://www.seattle.gov/trafficcams/i5_spokane.htm,"(47.57278, -122.31949)"
SDOT,E Marginal Way S & S Hanford St,http://www.seattle.gov/trafficcams/images/EMarg_Hanford.jpg,,"(47.57576, -122.33994)"
SDOT,SR99 & Lander St,http://www.seattle.gov/trafficcams/images/SR99_Lander.jpg,,"(47.57975, -122.33951)"
SDOT,3rd Ave S & S Lander St,http://www.seattle.gov/trafficcams/images/3_Lander.jpg,http://www.seattle.gov/trafficcams/3rd_Lander.htm,"(47.57985, -122.33064)"
SDOT,Airport Way S & S Lander St,http://www.seattle.gov/trafficcams/images/Airport_Lander.jpg,,"(47.57991, -122.3213)"
WSDOT,I-5 @ S Holgate St,http://images.wsdot.wa.gov/nw/005vc16396.jpg,http://www.seattle.gov/trafficcams/i5_holgate.htm,"(47.5861, -122.32322)"
SDOT,1st Ave S & S Holgate St,http://www.seattle.gov/trafficcams/images/1_Holgate.jpg,http://www.seattle.gov/trafficcams/1st_Holgate.htm,"(47.58621, -122.33436)"
WSDOT,I-90 Midspan,http://images.wsdot.wa.gov/nw/090vc00508.jpg,http://www.seattle.gov/trafficcams/i90_midspan.htm,"(47.58989, -122.27021)"
WSDOT,SR-520 East Highrise,http://images.wsdot.wa.gov/nw/520vc00398.jpg,http://www.seattle.gov/trafficcams/sr520_midspaneast.htm,"(47.59014, -122.29969)"
SDOT,1st Ave S & S Atlantic St,http://www.seattle.gov/trafficcams/images/1_Atlantic.jpg,,"(47.59014, -122.33405)"
